block_ix,trial_ix,cue,cue_file,cue_mask,ftype,response,qtype,qid,question
0,16,donkey,donkey_4.wav,mask,nonvisual,no,nonvisual-no,2,Does it grow on trees?
0,17,lion,lion_1.wav,mask,visual,yes,visual-yes,1,Does it have a mane?
0,18,swan,swan_1.wav,mask,visual,yes,visual-yes,3,Does it have feathers?
0,19,apple,apple_3.wav,nomask,nonvisual,yes,nonvisual-yes,2,Does it grow on trees?
0,20,alligator,alligator_4.wav,nomask,visual,yes,visual-yes,5,Does it have jaws?
0,21,dog,dog_3.wav,nomask,visual,no,visual-no,5,Does it have a mask?
0,22,strawberry,strawberry_3.wav,mask,visual,yes,visual-yes,2,Does it have seeds?
0,23,penguin,penguin_3.wav,nomask,nonvisual,yes,nonvisual-yes,4,Does it lay eggs?
0,24,pineapple,pineapple_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it tropical?
0,25,dog,dog_4.wav,mask,visual,yes,visual-yes,1,Does it have four legs?
0,26,raccoon,raccoon_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it produce offspring?
0,27,grasshopper,grasshopper_1.wav,nomask,visual,yes,visual-yes,4,Does it have antennae?
0,28,deer,deer_2.wav,nomask,visual,yes,visual-yes,1,Does it have antlers?
0,29,lion,lion_4.wav,nomask,nonvisual,no,nonvisual-no,1,Is it found in kitchens?
0,30,dog,dog_1.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it a pet?
0,31,tiger,tiger_3.wav,mask,visual,no,visual-no,5,Does it have warts?
0,32,mouse,mouse_3.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it an animal?
0,33,dog,dog_4.wav,nomask,visual,yes,visual-yes,3,Does it have a tail?
0,34,table,table_2.wav,nomask,visual,no,visual-no,4,Does it have a skin?
0,35,pig,pig_1.wav,nomask,visual,yes,visual-yes,2,Does it have a tail?
0,36,apple,apple_4.wav,mask,visual,yes,visual-yes,5,Does it have a core?
0,37,tiger,tiger_3.wav,mask,visual,yes,visual-yes,4,Does it have whiskers?
0,38,deer,deer_2.wav,mask,visual,yes,visual-yes,2,Does it have four legs?
0,39,penguin,penguin_1.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it a bird?
0,40,deer,deer_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it a mammal?
0,41,pig,pig_4.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it an animal?
0,42,pineapple,pineapple_2.wav,mask,visual,yes,visual-yes,1,Is it yellow?
0,43,penguin,penguin_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Does it waddle?
0,44,alligator,alligator_2.wav,nomask,visual,yes,visual-yes,2,Is it long?
0,45,tiger,tiger_3.wav,nomask,nonvisual,no,nonvisual-no,3,Does it grow underground?
0,46,rabbit,rabbit_1.wav,mask,visual,yes,visual-yes,2,Does it have feet?
0,47,table,table_3.wav,mask,nonvisual,yes,nonvisual-yes,1,Is it used for eating on?
0,48,alligator,alligator_1.wav,nomask,visual,yes,visual-yes,4,Does it have a tail?
0,49,rabbit,rabbit_3.wav,mask,nonvisual,yes,nonvisual-yes,4,Is it hunted by people?
0,50,giraffe,giraffe_4.wav,mask,nonvisual,no,nonvisual-no,3,Does it live in grass?
0,51,tiger,tiger_4.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it a carnivore?
0,52,swan,swan_4.wav,mask,nonvisual,yes,nonvisual-yes,3,Does it live on water?
0,53,mouse,mouse_4.wav,nomask,visual,yes,visual-yes,1,Does it have a tail?
0,54,donkey,donkey_4.wav,mask,visual,no,visual-no,2,Does it have a pointed end?
0,55,lion,lion_4.wav,mask,visual,yes,visual-yes,3,Does it have a tail?
0,56,chicken,chicken_4.wav,mask,visual,yes,visual-yes,4,Does it have legs?
0,57,dog,dog_2.wav,nomask,visual,yes,visual-yes,5,Does it have a nose?
0,58,giraffe,giraffe_4.wav,mask,visual,yes,visual-yes,4,Is it brown?
0,59,chicken,chicken_2.wav,nomask,visual,yes,visual-yes,1,Does it have feathers?
0,60,mouse,mouse_2.wav,nomask,visual,yes,visual-yes,4,Does it have whiskers?
0,61,strawberry,strawberry_4.wav,mask,visual,yes,visual-yes,1,Is it red?
0,62,chicken,chicken_3.wav,nomask,nonvisual,no,nonvisual-no,4,Is it worn for the rain?
0,63,donkey,donkey_2.wav,mask,nonvisual,yes,nonvisual-yes,2,Is it like a horse?
0,64,apple,apple_4.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it eaten in pies?
0,65,pig,pig_2.wav,nomask,visual,yes,visual-yes,1,Is it pink?
0,66,table,table_3.wav,nomask,visual,yes,visual-yes,2,Is it round?
0,67,swan,swan_2.wav,nomask,nonvisual,yes,nonvisual-yes,1,Is it graceful?
0,68,raccoon,raccoon_4.wav,nomask,visual,yes,visual-yes,2,Does it have a tail?
0,69,alligator,alligator_3.wav,mask,visual,no,visual-no,2,Is it grey?
0,70,rabbit,rabbit_2.wav,nomask,visual,yes,visual-yes,4,Does it have a tail?
0,71,alligator,alligator_1.wav,mask,visual,yes,visual-yes,3,Does it have scales?
0,72,penguin,penguin_2.wav,mask,visual,yes,visual-yes,4,Does it have wings?
0,73,deer,deer_3.wav,nomask,nonvisual,yes,nonvisual-yes,5,Is it timid?
0,74,apple,apple_3.wav,mask,nonvisual,no,nonvisual-no,4,Is it timid?
1,75,deer,deer_4.wav,nomask,visual,yes,visual-yes,5,Does it have a white tail?
1,76,penguin,penguin_3.wav,mask,nonvisual,no,nonvisual-no,5,Does it eat grain?
1,77,tiger,tiger_4.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it live in zoos?
1,78,alligator,alligator_2.wav,mask,nonvisual,yes,nonvisual-yes,4,Does it live in water?
1,79,chicken,chicken_3.wav,nomask,visual,yes,visual-yes,2,Does it have wings?
1,80,lion,lion_4.wav,mask,visual,yes,visual-yes,2,Does it have fur?
1,81,donkey,donkey_3.wav,mask,nonvisual,yes,nonvisual-yes,3,Is it a mammal?
1,82,mouse,mouse_2.wav,mask,visual,yes,visual-yes,2,Is it grey?
1,83,grasshopper,grasshopper_2.wav,nomask,nonvisual,no,nonvisual-no,4,Is it unable to fly?
1,84,apple,apple_1.wav,nomask,visual,no,visual-no,2,Does it have pockets?
1,85,lion,lion_1.wav,nomask,nonvisual,yes,nonvisual-yes,2,Is it a carnivore?
1,86,table,table_2.wav,mask,visual,yes,visual-yes,1,Is it made of wood?
1,87,donkey,donkey_4.wav,nomask,visual,yes,visual-yes,3,Does it have a tail?
