question,cue,question_slug,proposition_id,feat_type,num_ratings,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_z,imagery_min,imagery_max,facts_mean,facts_std,facts_z,facts_min,facts_max,difficulty_mean,difficulty_std,difficulty_z,difficulty_min,difficulty_max
Does it have a neck?,bottle,does-it-have-a-neck,does-it-have-a-neck:bottle,visual,5,1.4,0.894427191,0,2,2.2,1.095445115,1.202606529,1,3,1.4,0.894427191,0.581519262,1,3,-1.4,0.547722558,0.150934308,-2,-1
Is it made of plastic?,bottle,is-it-made-of-plastic,is-it-made-of-plastic:bottle,visual,5,0.6,0.547722558,0,1,2.4,1.341640787,1.513751406,1,4,0.8,0.836660027,-0.336127372,0,2,-1.2,0.836660027,0.601653693,-2,0
Is it made of glass?,bottle,is-it-made-of-glass,is-it-made-of-glass:bottle,visual,4,1,0.816496581,0,2,2,0.816496581,0.891461652,1,3,1.25,0.957427108,0.352107603,0,2,-1.5,0.577350269,-0.074425384,-2,-1
Does it have a lid?,bottle,does-it-have-a-lid,does-it-have-a-lid:bottle,visual,4,0,1.825741858,-2,2,2.5,0.577350269,1.669323845,2,3,0.25,0.5,-1.177303452,0,1,-1.5,1,-0.074425384,-2,0
Does it fly?,bottle,does-it-fly,does-it-fly:bottle,nonvisual,5,-2,0,-2,-2,0.4,0.547722558,-1.597697365,0,1,0.8,1.303840481,-0.336127372,0,3,-2,0,-1.201223845,-2,-2
Is it an amphibian?,bottle,is-it-an-amphibian,is-it-an-amphibian:bottle,nonvisual,5,-2,0,-2,-2,0.4,0.894427191,-1.597697365,0,2,1.2,1.788854382,0.27563705,0,4,-1.8,0.447213596,-0.75050446,-2,-1
Is it a carnivore?,bottle,is-it-a-carnivore,is-it-a-carnivore:bottle,nonvisual,5,-2,0,-2,-2,1,1.732050808,-0.664262734,0,4,0.8,1.788854382,-0.336127372,0,4,-2,0,-1.201223845,-2,-2
Is it juicy?,bottle,is-it-juicy,is-it-juicy:bottle,nonvisual,4,-2,0,-2,-2,1.25,1.258305739,-0.275331637,0,3,0.25,0.5,-1.177303452,0,1,-1.75,0.5,-0.637824614,-2,-1
Is it an animal?,bottle,is-it-an-animal,is-it-an-animal:bottle,nonvisual,7,-1.571428571,1.133893419,-2,1,0.571428571,0.786795792,-1.331001756,0,2,0.714285714,1.253566341,-0.467219748,0,3,-1.571428571,0.786795792,-0.235396592,-2,0
Is it used for holding beer?,bottle,is-it-used-for-holding-beer,is-it-used-for-holding-beer:bottle,nonvisual,4,1.25,0.957427108,0,2,2,1.414213562,0.891461652,0,3,1,1.414213562,-0.030245161,0,3,-1.25,0.957427108,0.488973847,-2,0
Is it breakable?,bottle,is-it-breakable,is-it-breakable:bottle,nonvisual,4,0.75,0.5,0,1,2,1.414213562,0.891461652,0,3,1,0.816496581,-0.030245161,0,2,-1,0.816496581,1.052373077,-2,0
Is it a container?,bottle,is-it-a-container,is-it-a-container:bottle,nonvisual,6,0.833333333,1.329160136,-1,2,2,1.414213562,0.891461652,0,4,1.666666667,0.816496581,0.98936221,1,3,-0.833333333,1.329160136,1.427972564,-2,1
Is it used for holding liquids?,bottle,is-it-used-for-holding-liquids,is-it-used-for-holding-liquids:bottle,nonvisual,5,1.4,0.894427191,0,2,1.4,0.894427191,-0.041972979,1,3,0.8,0.836660027,-0.336127372,0,2,-1.6,0.547722558,-0.299785076,-2,-1
Is it used for holding things?,bottle,is-it-used-for-holding-things,is-it-used-for-holding-things:bottle,nonvisual,9,1.444444444,1.013793755,-1,2,2.666666667,1.5,1.928611243,0,4,1.222222222,1.394433378,0.309623963,0,4,-1.222222222,1.301708279,0.551573761,-2,2
Does it have seeds?,camel,does-it-have-seeds,does-it-have-seeds:camel,visual,6,-2,0,-2,-2,1.166666667,0.752772653,-0.404975336,0,2,1.833333333,1.471960144,1.244264052,0,4,-1.333333333,0.816496581,0.301174103,-2,0
Does it have whiskers?,camel,does-it-have-whiskers,does-it-have-whiskers:camel,visual,8,-0.875,1.125991626,-2,1,1.75,1.035098339,0.502530556,0,3,0.875,1.125991626,-0.221421542,0,3,-0.5,1.414213562,2.179171538,-2,1
Does it have a cork?,camel,does-it-have-a-cork,does-it-have-a-cork:camel,visual,4,-2,0,-2,-2,1.75,1.707825128,0.502530556,0,4,0.75,0.957427108,-0.412597924,0,2,-1.25,1.5,0.488973847,-2,1
Does it have green leaves?,camel,does-it-have-green-leaves,does-it-have-green-leaves:camel,visual,8,-2,0,-2,-2,1,1.414213562,-0.664262734,0,4,1.25,1.281739889,0.352107603,0,3,-1.5,0.9258201,-0.074425384,-2,0
Does it have stripes?,camel,does-it-have-stripes,does-it-have-stripes:camel,visual,3,-1.333333333,1.154700538,-2,0,1,1,-0.664262734,0,2,0.666666667,0.577350269,-0.540048846,0,1,-1.666666667,0.577350269,-0.450024871,-2,-1
Is it beige?,camel,is-it-beige,is-it-beige:camel,visual,5,1,0.707106781,0,2,1.8,0.836660027,0.580316775,1,3,0.6,0.547722558,-0.642009583,0,1,-0.8,1.095445115,1.503092461,-2,1
Is it large?,camel,is-it-large,is-it-large:camel,visual,4,1,0.816496581,0,2,1.75,0.957427108,0.502530556,1,3,0.5,0.577350269,-0.794950688,0,1,-1.75,0.5,-0.637824614,-2,-1
Does it have legs?,camel,does-it-have-legs,does-it-have-legs:camel,visual,6,2,0,2,2,0.666666667,1.211060142,-1.182837529,0,3,1.833333333,1.722401424,1.244264052,0,4,-1.833333333,0.40824829,-0.825624358,-2,-1
Is it brown?,camel,is-it-brown,is-it-brown:camel,visual,4,0.5,1,0,2,1.5,1.732050808,0.113599459,0,4,1.5,0.577350269,0.734460367,1,2,-1.25,0.957427108,0.488973847,-2,0
Does it have a hump?,camel,does-it-have-a-hump,does-it-have-a-hump:camel,visual,5,2,0,2,2,1.6,1.341640787,0.269171898,0,3,1,1.224744871,-0.030245161,0,3,-2,0,-1.201223845,-2,-2
Is it a bird?,camel,is-it-a-bird,is-it-a-bird:camel,nonvisual,2,-2,0,-2,-2,1,1.414213562,-0.664262734,0,2,1,1.414213562,-0.030245161,0,2,-1.5,0.707106781,-0.074425384,-2,-1
Is it graceful?,camel,is-it-graceful,is-it-graceful:camel,nonvisual,5,-0.4,0.894427191,-1,1,2,1.224744871,0.891461652,1,4,1,1.414213562,-0.030245161,0,3,-1,1,1.052373077,-2,0
Does it live on a farm?,camel,does-it-live-on-a-farm,does-it-live-on-a-farm:camel,nonvisual,4,-0.5,0.577350269,-1,0,1.5,1.290994449,0.113599459,0,3,1.75,1.707825128,1.116813131,0,4,-1.5,0.577350269,-0.074425384,-2,-1
Does it live in a coop?,camel,does-it-live-in-a-coop,does-it-live-in-a-coop:camel,nonvisual,5,-1.6,0.894427191,-2,0,1.6,1.341640787,0.269171898,0,3,1.6,1.516575089,0.887401473,0,3,-1,1.414213562,1.052373077,-2,1
Does it eat?,camel,does-it-eat,does-it-eat:camel,nonvisual,8,1.375,0.916125381,0,2,1.625,1.505940617,0.308065007,0,4,1.25,1.58113883,0.352107603,0,4,-1.625,0.744023809,-0.356124999,-2,0
Does it spit?,camel,does-it-spit,does-it-spit:camel,nonvisual,6,1.5,0.836660027,0,2,1.833333333,1.471960144,0.632174254,0,4,2.5,1.643167673,2.263871422,0,4,-1.5,0.836660027,-0.074425384,-2,0
Is it used by riding?,camel,is-it-used-by-riding,is-it-used-by-riding:camel,nonvisual,7,1.714285714,0.755928946,0,2,0.857142857,0.899735411,-0.886509075,0,2,0.857142857,0.899735411,-0.248732454,0,2,-1.571428571,0.534522484,-0.235396592,-2,-1
Does it drink water?,camel,does-it-drink-water,does-it-drink-water:camel,nonvisual,6,2,0,2,2,0.5,0.836660027,-1.442124927,0,2,0.666666667,1.211060142,-0.540048846,0,3,-1.833333333,0.40824829,-0.825624358,-2,-1
Does it live in the desert?,camel,does-it-live-in-the-desert,does-it-live-in-the-desert:camel,nonvisual,8,1.625,0.51754917,1,2,1.375,1.060660172,-0.080866089,0,3,1.375,1.060660172,0.543283985,0,3,-1.625,0.744023809,-0.356124999,-2,0
Is it a mammal?,camel,is-it-a-mammal,is-it-a-mammal:camel,nonvisual,6,1.666666667,0.516397779,1,2,0.5,0.547722558,-1.442124927,0,1,2,1.095445115,1.499165895,1,4,-1.5,0.547722558,-0.074425384,-2,-1
Does it have wings?,carrot,does-it-have-wings,does-it-have-wings:carrot,visual,6,-2,0,-2,-2,1,1.673320053,-0.664262734,0,4,0,0,-1.559656216,0,0,-1.833333333,0.40824829,-0.825624358,-2,-1
Does it have many cars?,carrot,does-it-have-many-cars,does-it-have-many-cars:carrot,visual,4,-2,0,-2,-2,1,2,-0.664262734,0,4,0,0,-1.559656216,0,0,-2,0,-1.201223845,-2,-2
Does it have four legs?,carrot,does-it-have-four-legs,does-it-have-four-legs:carrot,visual,6,-2,0,-2,-2,0.5,0.547722558,-1.442124927,0,1,0,0,-1.559656216,0,0,-2,0,-1.201223845,-2,-2
