question,cue,question_slug,proposition_id,correct_response,feat_type
Does it eat carrots?,rabbit,does-it-eat-carrots,does-it-eat-carrots:rabbit,yes,nonvisual
Does it produce offspring?,raccoon,does-it-produce-offspring,does-it-produce-offspring:raccoon,yes,nonvisual
Is it furry?,raccoon,is-it-furry,is-it-furry:raccoon,yes,nonvisual
Does it taste good?,strawberry,does-it-taste-good,does-it-taste-good:strawberry,yes,nonvisual
Is it a fruit?,strawberry,is-it-a-fruit,is-it-a-fruit:strawberry,yes,nonvisual
Does it live on water?,swan,does-it-live-on-water,does-it-live-on-water:swan,yes,nonvisual
Does it lay eggs?,swan,does-it-lay-eggs,does-it-lay-eggs:swan,yes,nonvisual
Is it used for eating on?,table,is-it-used-for-eating-on,is-it-used-for-eating-on:table,yes,nonvisual
Is it found in kitchens?,table,is-it-found-in-kitchens,is-it-found-in-kitchens:table,yes,nonvisual
Does it live in India?,tiger,does-it-live-in-india,does-it-live-in-india:tiger,yes,nonvisual
Is it loud?,train,is-it-loud,is-it-loud:train,yes,nonvisual
Does it live in Africa?,zebra,does-it-live-in-africa,does-it-live-in-africa:zebra,yes,nonvisual
Is it an animal?,zebra,is-it-an-animal,is-it-an-animal:zebra,yes,nonvisual
Does it live in the desert?,alligator,does-it-live-in-the-desert,does-it-live-in-the-desert:alligator,no,nonvisual
Is it fast?,apple,is-it-fast,is-it-fast:apple,no,nonvisual
Is it fast?,banana,is-it-fast,is-it-fast:banana,no,nonvisual
Is it worn in cold temperatures?,banana,is-it-worn-in-cold-temperatures,is-it-worn-in-cold-temperatures:banana,no,nonvisual
Is it a container?,banana,is-it-a-container,is-it-a-container:banana,no,nonvisual
Does it have different speeds?,banana,does-it-have-different-speeds,does-it-have-different-speeds:banana,no,nonvisual
Does it live in Africa?,bike,does-it-live-in-africa,does-it-live-in-africa:bike,no,nonvisual
Is it a mammal?,bike,is-it-a-mammal,is-it-a-mammal:bike,no,nonvisual
Is it an amphibian?,bottle,is-it-an-amphibian,is-it-an-amphibian:bottle,no,nonvisual
Is it an animal?,bottle,is-it-an-animal,is-it-an-animal:bottle,no,nonvisual
Is it a bird?,camel,is-it-a-bird,is-it-a-bird:camel,no,nonvisual
Is it used for holding things?,carrot,is-it-used-for-holding-things,is-it-used-for-holding-things:carrot,no,nonvisual
Is it a root?,chair,is-it-a-root,is-it-a-root:chair,no,nonvisual
Is it an animal?,chair,is-it-an-animal,is-it-an-animal:chair,no,nonvisual
Is it a fruit?,chair,is-it-a-fruit,is-it-a-fruit:chair,no,nonvisual
Is it worn for the rain?,chicken,is-it-worn-for-the-rain,is-it-worn-for-the-rain:chicken,no,nonvisual
Is it loud?,deer,is-it-loud,is-it-loud:deer,no,nonvisual
Does it eat people?,deer,does-it-eat-people,does-it-eat-people:deer,no,nonvisual
Is it used for cider?,deer,is-it-used-for-cider,is-it-used-for-cider:deer,no,nonvisual
Does it lay eggs?,dog,does-it-lay-eggs,does-it-lay-eggs:dog,no,nonvisual
Is it prickly?,dog,is-it-prickly,is-it-prickly:dog,no,nonvisual
Is it eaten as bacon?,dog,is-it-eaten-as-bacon,is-it-eaten-as-bacon:dog,no,nonvisual
Is it furniture?,donkey,is-it-furniture,is-it-furniture:donkey,no,nonvisual
Does it lay eggs?,donkey,does-it-lay-eggs,does-it-lay-eggs:donkey,no,nonvisual
Does it grow on trees?,donkey,does-it-grow-on-trees,does-it-grow-on-trees:donkey,no,nonvisual
Does it lay eggs?,elephant,does-it-lay-eggs,does-it-lay-eggs:elephant,no,nonvisual
Is it a reptile?,elephant,is-it-a-reptile,is-it-a-reptile:elephant,no,nonvisual
Is it eaten by frying?,giraffe,is-it-eaten-by-frying,is-it-eaten-by-frying:giraffe,no,nonvisual
Does it require a conductor?,grasshopper,does-it-require-a-conductor,does-it-require-a-conductor:grasshopper,no,nonvisual
Does it taste good?,grasshopper,does-it-taste-good,does-it-taste-good:grasshopper,no,nonvisual
Does it eat leaves?,jacket,does-it-eat-leaves,does-it-eat-leaves:jacket,no,nonvisual
Is it a vegetable?,jacket,is-it-a-vegetable,is-it-a-vegetable:jacket,no,nonvisual
Does it lay eggs?,lion,does-it-lay-eggs,does-it-lay-eggs:lion,no,nonvisual
Does it waddle?,lion,does-it-waddle,does-it-waddle:lion,no,nonvisual
Does it live on water?,mouse,does-it-live-on-water,does-it-live-on-water:mouse,no,nonvisual
Is it a fruit?,mouse,is-it-a-fruit,is-it-a-fruit:mouse,no,nonvisual
