cue,ftype,qid,question,response,question_id,count,truth_mean,truth_std,truth_min,truth_max,imagery_mean,imagery_std,imagery_min,imagery_max,difficulty_mean,difficulty_std,difficulty_min,difficulty_max,facts_mean,facts_std,facts_min,facts_max
apple,visual,2,Is it green?,yes,apple:visual:2:yes,3.0,0.0,0.0,0.0,0.0,2.3333333333333335,1.1547005383792517,1.0,3.0,-1.0,1.0,-2.0,0.0,1.0,0.0,1.0,1.0
apple,visual,3,Does it have seeds?,yes,apple:visual:3:yes,6.0,1.5,0.8366600265340756,0.0,2.0,1.0,1.0954451150103321,0.0,3.0,-1.6666666666666667,0.8164965809277259,-2.0,0.0,1.5,1.224744871391589,0.0,3.0
apple,visual,4,Is it round?,yes,apple:visual:4:yes,6.0,0.8333333333333334,1.1690451944500122,-1.0,2.0,3.0,1.0954451150103321,2.0,4.0,-1.5,0.5477225575051661,-2.0,-1.0,1.5,1.9748417658131499,0.0,4.0
apple,visual,5,Does it have a core?,yes,apple:visual:5:yes,4.0,2.0,0.0,2.0,2.0,0.75,0.5,0.0,1.0,-2.0,0.0,-2.0,-2.0,1.25,1.5,0.0,3.0
apple,nonvisual,1,Is it an animal?,no,apple:nonvisual:1:no,5.0,-1.8,0.44721359549995815,-2.0,-1.0,1.6,2.1908902300206643,0.0,4.0,-1.4,1.3416407864998738,-2.0,1.0,1.0,1.7320508075688772,0.0,4.0
apple,nonvisual,2,Does it live in Africa?,no,apple:nonvisual:2:no,5.0,-1.0,0.7071067811865476,-2.0,0.0,0.2,0.4472135954999579,0.0,1.0,-1.0,1.224744871391589,-2.0,1.0,1.0,1.4142135623730951,0.0,3.0
apple,nonvisual,3,Is it fast?,no,apple:nonvisual:3:no,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
apple,nonvisual,4,Is it timid?,no,apple:nonvisual:4:no,7.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,2.5714285714285716,1.511857892036909,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,2.142857142857143,1.6761634196950514,0.0,4.0
apple,nonvisual,5,Is it used in experiments?,no,apple:nonvisual:5:no,5.0,-0.6,0.8944271909999159,-2.0,0.0,0.4,0.8944271909999159,0.0,2.0,-0.8,1.3038404810405297,-2.0,1.0,0.2,0.4472135954999579,0.0,1.0
apple,visual,1,Is it black?,no,apple:visual:1:no,4.0,-2.0,0.0,-2.0,-2.0,1.5,1.7320508075688772,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0
apple,visual,2,Does it have pockets?,no,apple:visual:2:no,7.0,-2.0,0.0,-2.0,-2.0,1.0,1.5275252316519468,0.0,4.0,-2.0,0.0,-2.0,-2.0,0.7142857142857143,1.2535663410560174,0.0,3.0
apple,visual,3,Does it have a beak?,no,apple:visual:3:no,7.0,-1.8571428571428572,0.3779644730092273,-2.0,-1.0,1.5714285714285714,1.618347187425374,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,1.0,1.0,0.0,2.0
apple,visual,4,Does it have a hood?,no,apple:visual:4:no,5.0,-2.0,0.0,-2.0,-2.0,0.4,0.5477225575051661,0.0,1.0,-1.8,0.44721359549995815,-2.0,-1.0,0.0,0.0,0.0,0.0
apple,visual,5,Does it have eyes?,no,apple:visual:5:no,5.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,0.0,0.0,-1.8,0.44721359549995815,-2.0,-1.0,0.4,0.8944271909999159,0.0,2.0
banana,nonvisual,1,Is it a fruit?,yes,banana:nonvisual:1:yes,7.0,1.8571428571428572,0.3779644730092273,1.0,2.0,0.8571428571428571,1.4638501094227998,0.0,4.0,-1.5714285714285714,0.7867957924694432,-2.0,0.0,0.7142857142857143,1.1126972805283737,0.0,3.0
banana,nonvisual,2,Does it taste good?,yes,banana:nonvisual:2:yes,7.0,1.0,1.0,0.0,2.0,0.5714285714285714,0.7867957924694432,0.0,2.0,-1.7142857142857142,0.7559289460184543,-2.0,0.0,1.4285714285714286,1.5118578920369088,0.0,3.0
banana,nonvisual,3,Does it grow in tropical climates?,yes,banana:nonvisual:3:yes,5.0,1.4,0.8944271909999157,0.0,2.0,0.2,0.4472135954999579,0.0,1.0,-1.6,0.547722557505166,-2.0,-1.0,1.0,1.4142135623730951,0.0,3.0
banana,nonvisual,4,Is it healthy?,yes,banana:nonvisual:4:yes,6.0,1.0,1.5491933384829668,-2.0,2.0,1.0,0.8944271909999159,0.0,2.0,-1.6666666666666667,0.5163977794943221,-2.0,-1.0,1.3333333333333333,1.505545305418162,0.0,3.0
banana,visual,1,Is it yellow?,yes,banana:visual:1:yes,4.0,1.5,0.5773502691896257,1.0,2.0,2.75,1.2583057392117916,1.0,4.0,-1.5,1.0,-2.0,0.0,2.25,1.5,1.0,4.0
banana,visual,2,Is it long?,yes,banana:visual:2:yes,8.0,0.5,0.5345224838248488,0.0,1.0,2.25,1.0350983390135313,1.0,4.0,-1.125,0.6408699444616557,-2.0,0.0,0.375,0.7440238091428449,0.0,2.0
banana,visual,3,Does it have a peel?,yes,banana:visual:3:yes,4.0,1.5,1.0,0.0,2.0,1.5,1.9148542155126762,0.0,4.0,-1.25,1.5,-2.0,1.0,0.75,1.5,0.0,3.0
banana,visual,4,Does it have a skin?,yes,banana:visual:4:yes,3.0,1.3333333333333333,0.5773502691896258,1.0,2.0,1.0,1.0,0.0,2.0,-1.0,1.0,-2.0,0.0,0.6666666666666666,0.5773502691896258,0.0,1.0
banana,nonvisual,1,Is it fast?,no,banana:nonvisual:1:no,7.0,-1.4285714285714286,0.7867957924694431,-2.0,0.0,1.4285714285714286,1.618347187425374,0.0,4.0,-1.0,1.2909944487358056,-2.0,1.0,0.42857142857142855,1.1338934190276817,0.0,3.0
banana,nonvisual,2,Is it worn in cold temperatures?,no,banana:nonvisual:2:no,8.0,-1.5,1.4142135623730951,-2.0,2.0,1.375,1.5059406173077154,0.0,4.0,-1.875,0.3535533905932738,-2.0,-1.0,0.875,0.9910312089651149,0.0,2.0
banana,nonvisual,3,Does it have different speeds?,no,banana:nonvisual:3:no,5.0,-1.8,0.44721359549995815,-2.0,-1.0,1.6,1.816590212458495,0.0,4.0,-1.4,1.3416407864998738,-2.0,1.0,0.6,1.3416407864998738,0.0,3.0
banana,nonvisual,4,Is it a container?,no,banana:nonvisual:4:no,5.0,-1.6,0.8944271909999157,-2.0,0.0,1.4,1.1401754250991378,0.0,3.0,-1.6,0.8944271909999157,-2.0,0.0,0.2,0.4472135954999579,0.0,1.0
